# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_ele_f
# 18 Ntot_ele_f
# 19 Zavg_ele_f
# 20 Ukin_ele_f
# 21 Urad_ele_f
# 22 Dens_ele_s
# 23 Ntot_ele_s
# 24 Zavg_ele_s
# 25 Ukin_ele_s
# 26 Urad_ele_s
# 27 Dens_ele_c
# 28 Ntot_ele_c
# 29 Zavg_ele_c
# 30 Ukin_ele_c
# 31 Urad_ele_c
# 32 Dens_ion_f
# 33 Ntot_ion_f
# 34 Zavg_ion_f
# 35 Ukin_ion_f
# 36 Urad_ion_f
# 37 Dens_ion_s
# 38 Ntot_ion_s
# 39 Zavg_ion_s
# 40 Ukin_ion_s
# 41 Urad_ion_s
# 42 Dens_ion_c
# 43 Ntot_ion_c
# 44 Zavg_ion_c
# 45 Ukin_ion_c
# 46 Urad_ion_c
# 47 Uelm_Ex
# 48 Uelm_Ey
# 49 Uelm_Ez
# 50 Uelm_Bx_m
# 51 Uelm_By_m
# 52 Uelm_Bz_m
# 53 ExMin
# 54 ExMinCell
# 55 ExMax
# 56 ExMaxCell
# 57 EyMin
# 58 EyMinCell
# 59 EyMax
# 60 EyMaxCell
# 61 EzMin
# 62 EzMinCell
# 63 EzMax
# 64 EzMaxCell
# 65 Bx_mMin
# 66 Bx_mMinCell
# 67 Bx_mMax
# 68 Bx_mMaxCell
# 69 By_mMin
# 70 By_mMinCell
# 71 By_mMax
# 72 By_mMaxCell
# 73 Bz_mMin
# 74 Bz_mMinCell
# 75 Bz_mMax
# 76 Bz_mMaxCell
# 77 JxMin
# 78 JxMinCell
# 79 JxMax
# 80 JxMaxCell
# 81 JyMin
# 82 JyMinCell
# 83 JyMax
# 84 JyMaxCell
# 85 JzMin
# 86 JzMinCell
# 87 JzMax
# 88 JzMaxCell
# 89 RhoMin
# 90 RhoMinCell
# 91 RhoMax
# 92 RhoMaxCell
# 93 PoyXmin
# 94 PoyXminInst
# 95 PoyYmin
# 96 PoyYminInst
# 97 PoyXmax
# 98 PoyXmaxInst
# 99 PoyYmax
# 100 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw          Dens_ele_f          Ntot_ele_f          Zavg_ele_f          Ukin_ele_f          Urad_ele_f          Dens_ele_s          Ntot_ele_s          Zavg_ele_s          Ukin_ele_s          Urad_ele_s          Dens_ele_c          Ntot_ele_c          Zavg_ele_c          Ukin_ele_c          Urad_ele_c          Dens_ion_f          Ntot_ion_f          Zavg_ion_f          Ukin_ion_f          Urad_ion_f          Dens_ion_s          Ntot_ion_s          Zavg_ion_s          Ukin_ion_s          Urad_ion_s          Dens_ion_c          Ntot_ion_c          Zavg_ion_c          Ukin_ion_c          Urad_ion_c             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0164815127e+00    2.0164815127e+00    2.0164815127e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0857994599e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.6347792026e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.7312236413e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984    0.0000000000e+00         -1720745984   -1.4617072949e-01         -1989403554    1.5616011569e-01         -1989403406   -1.7899208689e-01           815705518    1.3724278730e-01           815705639   -1.2592973164e-01         -1989403416    1.4115861374e-01         -1989403019   -4.0219115727e+01           815696460    2.1058406459e+01         -1989402970    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    2.1770126397e+00    7.3493749447e-02    1.7450467785e-01    2.3744152280e+00    2.1999105502e+00    1.9693281158e+00    0.0000000000e+00    0.0000000000e+00    4.0508711223e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.8342903741e-01    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0800896856e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.6059837756e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.5530273861e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    4.6883228000e-08    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    7.4277642104e-06    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    2.5158342018e-05    0.0000000000e+00    5.6367566922e-02    1.5754248631e-01    3.4747637336e-02    8.0840514845e-03    8.1843873089e-03    1.4016098286e-01   -4.4008785092e-02         -1989402353    3.4383284665e-02           815705433   -3.0342463796e-02           815705060    7.5802993234e-02                 300   -4.3228433507e-02         -1989403016    3.5687068136e-02           815705026   -1.5301954628e-02         -1989402143    1.5032457660e-02         -1989403402   -1.2492788424e-02           815705017    1.3794418693e-02           815705413   -2.2529803325e-02           815705637    7.7847092485e-02                 300   -1.4866064491e-01           815705445    1.5813230930e-01           815705409   -1.4159288969e-01         -1989402871    1.3085905310e-01         -1989408415   -1.5723033912e-01           815705026    2.6280654478e-01         -1989403017   -4.0235435040e+01           815696460    2.1050827148e+01         -1989402970    1.8342903741e-01    5.5816960204e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    4.3540252794e+00    5.9160178804e-02    1.5167853734e-01    2.5638620505e+00    2.4121835132e+00    1.9322341684e+00    0.0000000000e+00    0.0000000000e+00    6.3162788207e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.9570200042e-01    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0701038443e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.5723336081e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.5285926469e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    2.9801667048e-07    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    8.0198111957e-06    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    2.2593374953e-05    0.0000000000e+00    5.8461736444e-02    2.6816235558e-01    3.4762649356e-02    9.8511506429e-03    1.0232307176e-02    2.5015768287e-01   -2.6038795377e-02         -1989404035    3.0089849879e-02           815705451   -4.2905593509e-02           100678881    8.0498062877e-02                3300   -4.6044387245e-02         -1989403016    2.5653674166e-02         -1989402982   -1.8267790297e-02         -1989402911    1.2433801378e-02           815705081   -1.1723394447e-02           815705546    1.1962998524e-02           815705445   -5.6308589825e-02                 315    8.1437530028e-02           100682523   -1.2777083280e-01           815706140    1.4295715770e-01         -1989402952   -1.4712423699e-01         -1989402752    1.5103194004e-01         -1989402830   -1.1942466425e-01           815705468    2.0174249927e-01         -1989403017   -4.0253692128e+01           815696460    2.0989915587e+01         -1989402970    3.9570200042e-01    2.9106676812e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    6.5310379191e+00    4.1662329651e-02    1.2833463397e-01    3.0803518442e+00    2.9520172102e+00    1.9269373625e+00    0.0000000000e+00    0.0000000000e+00    1.1534144816e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.3553569745e-01    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0630288982e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.5686755285e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.5192423529e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    8.3958109650e-07    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    9.2064454913e-06    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    2.4662897465e-05    0.0000000000e+00    5.9188779385e-02    5.3846648923e-01    3.5408406147e-02    9.8321613011e-03    1.0166615371e-02    5.0035203020e-01   -2.8809949685e-02         -1989405331    2.6662358169e-02           815705510   -1.0173453574e-01           100680123    8.4487389324e-02                6900   -2.7142476852e-02         -1989402982    2.3860090098e-02           815705082   -1.1910077236e-02           815706295    1.3959695745e-02         -1989407763   -1.1203764981e-02         -1989403017    1.2369393778e-02           815703746   -1.0133002884e-01                2100    8.3406815613e-02           100685523   -1.1617557939e-01         -1989402780    1.1220290428e-01           815700665   -1.3844258674e-01           815705429    1.5350659470e-01         -1989402948   -1.2236242242e-01           815705468    1.2261841847e-01         -1989402896   -4.0166877598e+01           815696460    2.1042978627e+01         -1989402970    9.3553569745e-01    2.1233856785e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    8.7080505588e+00    5.4456474924e-02    2.0745147267e-01    3.8094913957e+00    3.6020399231e+00    1.9238946255e+00    0.0000000000e+00    0.0000000000e+00    1.8855967702e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.5855584103e+00    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0628593895e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.5660326869e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.5153851203e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    1.6172735764e-06    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    9.7410002012e-06    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    2.6129374913e-05    0.0000000000e+00    5.9872008901e-02    8.8664281177e-01    3.5423842864e-02    9.7378647129e-03    1.0187575534e-02    8.8373266642e-01   -2.8130672938e-02           815695886    2.7705381813e-02         -1989406577   -1.0458547354e-01                5100    1.3089250488e-01           100678923   -2.2826589040e-02           815697855    3.5830921282e-02         -1989402982   -1.2418496428e-02         -1989402743    1.5248148537e-02           815702495   -1.1913921823e-02           815706293    1.2057387972e-02         -1989402773   -1.0226269426e-01                5700    1.2657576268e-01                 900   -1.3130901797e-01           815706140    1.0829345665e-01           815705407   -1.1198865861e-01           815705406    1.0984841459e-01           815705474   -1.6864192504e-01         -1989402982    1.1960845987e-01         -1989402896   -4.0216037440e+01           815696460    2.1017511084e+01         -1989402970    1.5855584103e+00    1.5221708761e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.0885063198e+01    5.4320532625e-02    2.3733181694e-01    4.3690995922e+00    4.1317677753e+00    1.9240751966e+00    0.0000000000e+00    0.0000000000e+00    2.4450243956e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.1152862625e+00    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0686197847e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.5660037765e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.5116794416e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    2.4471578952e-06    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    1.0174044041e-05    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    2.8876216442e-05    0.0000000000e+00    6.1881207734e-02    1.1555670368e+00    3.5552523511e-02    9.5882026385e-03    1.0217060948e-02    1.1722183640e+00   -2.8168859518e-02         -1989404732    3.0264149265e-02           815702077   -1.0390931675e-01                8100    1.2793584013e-01           100681923   -4.5586093544e-02         -1989402982    3.7983993538e-02         -1989403018   -1.2379124637e-02           815700275    1.2137426513e-02           815705081   -1.2245917692e-02           815704482    1.3035492052e-02         -1989402773   -1.1844213801e-01                 300    1.2780391560e-01                3900   -1.1364426810e-01           815706140    1.2135361463e-01           815706131   -1.0798437287e-01         -1989402749    1.0378818188e-01         -1989402830   -1.5278697346e-01         -1989403018    1.6067880912e-01         -1989402982   -4.0241533828e+01           815696460    2.1110719148e+01         -1989402970    2.1152862625e+00    1.2591777945e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.3062075838e+01    2.8317009525e-02    1.5741326073e-01    5.5589648543e+00    5.4015515936e+00    1.9220351927e+00    0.0000000000e+00    0.0000000000e+00    3.6369296617e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.3850700809e+00    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0723521375e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.5647911746e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.4996374209e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    3.0213751147e-06    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    1.0418759627e-05    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    3.1622130268e-05    0.0000000000e+00    6.2292475655e-02    1.7840706352e+00    3.5641047646e-02    1.0114077765e-02    1.0301468583e-02    1.7345099568e+00   -2.5532171689e-02           815703037    2.4490475372e-02           815698871   -1.6427122210e-01                2100    1.3157100754e-01                6900   -2.0930478953e-02           815703747    4.3834958796e-02         -1989402982   -1.3922951512e-02         -1989402911    1.2594056504e-02         -1989403402   -1.1501646425e-02           815706293    1.4578893062e-02           815694748   -1.6142533631e-01                2700    1.2754061690e-01                7500   -1.0654314304e-01           815706038    1.0503827668e-01           815705452   -1.2985786462e-01           815705540    9.1657723422e-02         -1989402916   -2.1617497439e-01         -1989402982    1.0337639527e-01         -1989402896   -4.0248188084e+01           815696460    2.1027478010e+01         -1989402970    3.3850700809e+00    2.1749951058e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.5239088478e+01    4.1792312933e-02    3.1815002203e-01    7.6126445200e+00    7.2944944980e+00    1.9216087806e+00    0.0000000000e+00    0.0000000000e+00    5.6910357394e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.2780129853e+00    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0732478886e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.5642025743e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.5003268834e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    3.2954143207e-06    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    1.1237947388e-05    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    3.4195753532e-05    0.0000000000e+00    6.2697850322e-02    2.7841650375e+00    3.5403536434e-02    1.0184519381e-02    1.0300077666e-02    2.7882847181e+00   -2.3572889517e-02           815696435    2.3319761783e-02         -1989414172   -1.6150476143e-01                5700    2.0317463541e-01                 900   -3.9340910265e-02         -1989402982    3.4513920429e-02         -1989403018   -1.0881369087e-02         -1989402143    1.0419507451e-02           815704808   -1.2153451434e-02           815706293    1.2648905070e-02         -1989402773   -1.6276409828e-01                5700    2.0278527353e-01                 900   -1.0986219999e-01           815706140    1.0408331495e-01         -1989402956   -1.0426175880e-01         -1989402947    1.1330430358e-01         -1989402757   -9.1361356747e-02         -1989402813    1.6972155252e-01         -1989402982   -4.0268721788e+01           815696460    2.1086934928e+01         -1989402970    5.2780129853e+00    3.2890133631e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.7416101118e+01    5.3713235999e-02    4.9440774288e-01    9.2045793496e+00    8.7101716067e+00    1.9207785443e+00    0.0000000000e+00    0.0000000000e+00    7.2838008053e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.6936900940e+00    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0746544064e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.5644320350e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.4882858829e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    3.4121898409e-06    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    1.1974471043e-05    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    3.7093680492e-05    0.0000000000e+00    6.7224797052e-02    3.5227442353e+00    3.5105176784e-02    1.0354306754e-02    1.0587825837e-02    3.6377844635e+00   -2.2528430494e-02           815695869    2.3671315346e-02         -1989401775   -1.9305800312e-01                 300    2.0605120803e-01                3900   -2.3390909027e-02         -1989403016    4.0417796686e-02         -1989402982   -1.0447437353e-02           815694110    1.2535288718e-02         -1989410731   -1.2957796071e-02         -1989413065    1.1577059361e-02           815694748   -2.2106252108e-01                 300    2.0132730550e-01           100683123   -1.0245710579e-01           815706140    1.0981774122e-01         -1989402350   -1.2412266741e-01         -1989402785    1.0457510488e-01           815703007   -1.8742266468e-01         -1989402982    1.2521716607e-01         -1989403017   -4.0207675322e+01           815696460    2.1075756767e+01         -1989402970    6.6936900940e+00    4.3963876253e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.9593113757e+01    2.3670311881e-02    2.7712458656e-01    1.1707686318e+01    1.1430561732e+01    1.9198934178e+00    0.0000000000e+00    0.0000000000e+00    9.7877929006e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.4140802191e+00    0.0000000000e+00    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06   -1.0000000000e+00    1.0771557720e-01    0.0000000000e+00    5.5516524756e+04    9.6000000000e+04   -1.0000000000e+00    1.5635992467e+00    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03   -1.0000000000e+00    2.4852151798e-01    0.0000000000e+00    3.7011016504e+03    1.9200000000e+06    1.0000000000e+00    3.4556899815e-06    0.0000000000e+00    1.1103304951e+04    9.6000000000e+04    1.0000000000e+00    1.2717402847e-05    0.0000000000e+00    9.2527541260e+03    9.6000000000e+03    1.0000000000e+00    4.0902849319e-05    0.0000000000e+00    6.8738448297e-02    4.8532232834e+00    3.5768749417e-02    1.0254455350e-02    1.0437862906e-02    4.8093701012e+00   -2.4617263926e-02           815697170    2.3434460669e-02         -1989405214   -2.5302304955e-01                2700    2.0368173170e-01           100686123   -3.8867510860e-02         -1989402982    2.4264768663e-02         -1989403022   -1.2208674255e-02         -1989402911    1.2140740924e-02         -1989403402   -1.2123378735e-02           815700233    1.0784080888e-02           815701324   -2.5358150169e-01                2700    2.0169639351e-01                7500   -1.0203007634e-01         -1989402356    8.2531331498e-02         -1989408321   -9.2870062634e-02           815705468    9.6998430177e-02         -1989402898   -1.0443024498e-01         -1989402813    1.6280689106e-01         -1989402982   -4.0191676187e+01           815696460    2.0991578403e+01         -1989402970    9.4140802191e+00    5.2004498899e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
