# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_ion
# 18 Ntot_ion
# 19 Zavg_ion
# 20 Ukin_ion
# 21 Urad_ion
# 22 Dens_ele
# 23 Ntot_ele
# 24 Zavg_ele
# 25 Ukin_ele
# 26 Urad_ele
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw            Dens_ion            Ntot_ion            Zavg_ion            Ukin_ion            Urad_ion            Dens_ele            Ntot_ele            Zavg_ele            Ukin_ele            Urad_ele             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4192374220e-02    2.4192374220e-02    2.4192374220e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06   -1.0000000000e+00    2.4192374220e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328    0.0000000000e+00          1089039328   -1.0683221759e-04         -1448840352    1.3391441172e-04         -1448472508   -1.1191685162e-04         -1448468947    1.0647612769e-04         -1448448126   -1.1346540422e-04         -1448651211    1.1466948378e-04          1857649565   -1.3545205194e-02          1857204270    1.4552259610e-02         -1448449089    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    4.3540252794e+00    7.4792589034e-02    3.3943645364e-02    4.5383701517e-01    4.1989336981e-01    2.3940901089e-02    0.0000000000e+00    0.0000000000e+00    4.2989611408e-01    9.4776725259e-07    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.9570194335e-01    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    3.1323605382e-09    0.0000000000e+00    8.2440034499e+02    1.0691740000e+06   -1.0000000000e+00    2.3940897957e-02    0.0000000000e+00    1.4790343481e-03    2.0664009662e-01    2.2085217498e-06    2.3418620843e-06    2.4448277119e-06    2.2176998790e-01   -5.9024431996e-03          1089040280    5.9024431996e-03          1089040174   -4.2905593509e-02          1089039585    8.0498062877e-02          1089042627   -3.3741753774e-05         -1448524614    3.1233554813e-05         -1448840942   -3.3388990140e-05         -1448641461    3.6760619462e-05          1857334372   -3.7946383137e-05          1089373597    3.5942546949e-05         -1448487158   -5.6308589825e-02          1089039612    8.1437530028e-02          1089043227   -9.8314632757e-05         -1448604483    1.1529519186e-04         -1448833632   -9.6663686665e-05          1089436223    1.1148410385e-04          1089385027   -1.1040197557e-04         -1448651211    1.1069117006e-04          1857649565   -1.3288645145e-02          1857384796    1.4408874039e-02         -1448449089    3.9570200042e-01    2.9106676812e-02    0.0000000000e+00    0.0000000000e+00   -5.7064079165e-08    6.2784473595e-09    0.0000000000e+00    0.0000000000e+00
    8.7080505588e+00    5.6245283536e-02    9.5936768760e-02    1.7056855745e+00    1.6097488057e+00    2.3301386512e-02    0.0000000000e+00    0.0000000000e+00    1.6823841880e+00    1.7937921703e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.5855582253e+00    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    4.9954621870e-08    0.0000000000e+00    8.2437721311e+02    1.0691440000e+06   -1.0000000000e+00    2.3301336557e-02    0.0000000000e+00    2.4684908257e-03    8.2454341651e-01    2.3134505560e-06    2.6654048494e-06    2.8299230430e-06    8.5536447185e-01   -5.8289434029e-03          1089046879    5.8289434029e-03          1089046775   -1.0458547354e-01          1089044428    1.3089250488e-01          1089039627   -3.7218150609e-05          1857338559    3.3593438511e-05          1857254697   -3.8355165579e-05         -1448728548    3.7503187078e-05          1089415547   -3.8289015256e-05         -1448625947    3.6950199080e-05         -1448713024   -1.0226269426e-01          1089045028    1.2657576268e-01          1089040228   -8.9947614133e-05         -1448839752    1.0392008661e-04         -1448833632   -9.5675537235e-05          1857219794    9.6466390554e-05          1857198093   -1.0747750884e-04         -1448651211    1.0556523850e-04          1857649565   -1.3997619937e-02          1089346565    1.4287846842e-02         -1448449089    1.5855584103e+00    1.5221708761e-01    0.0000000000e+00    0.0000000000e+00   -1.8502343703e-07    8.3008975995e-09    0.0000000000e+00    0.0000000000e+00
    1.3062075838e+01    1.3113028568e-02    4.5299737951e-02    3.4545595411e+00    3.4092598032e+00    2.2532266986e-02    0.0000000000e+00    0.0000000000e+00    3.4320272741e+00    2.3307435659e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.3850697597e+00    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    2.2963864162e-07    0.0000000000e+00    8.2436179185e+02    1.0691240000e+06   -1.0000000000e+00    2.2532037348e-02    0.0000000000e+00    5.6438752378e-03    1.7221530346e+00    2.1638794607e-06    2.6776540874e-06    2.9127642090e-06    1.7042226100e+00   -7.5928584865e-03          1089043879    7.5928584865e-03          1089043775   -1.6427122210e-01          1089041427    1.3157100754e-01          1089046227   -3.3685787046e-05          1857638140    3.1213370663e-05          1857467517   -3.5796550660e-05          1857432942    3.6717953502e-05         -1448526438   -3.8232825784e-05         -1448584677    3.9404662394e-05          1947608022   -1.6142533631e-01          1089042028    1.2754061690e-01          1089046827   -8.2949968667e-05          1857536686    8.7009681294e-05         -1448833632   -8.4836763193e-05          1089371357    8.5650518325e-05         -1448563424   -1.0543216729e-04         -1448651211    1.0491769836e-04         -1448475299   -1.4446675428e-02          1089346565    1.4204039187e-02         -1448449089    3.3850700809e+00    2.1749951058e-02    0.0000000000e+00    0.0000000000e+00   -3.2118448805e-07    8.9484108372e-09    0.0000000000e+00    0.0000000000e+00
    1.7416101118e+01    5.3696279179e-02    3.8119378325e-01    7.0990725816e+00    6.7178787983e+00    2.1922673165e-02    0.0000000000e+00    0.0000000000e+00    7.0771499084e+00    3.2167992405e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.6936896409e+00    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    6.2477021123e-07    0.0000000000e+00    8.2434482847e+02    1.0691020000e+06   -1.0000000000e+00    2.1922048394e-02    0.0000000000e+00    1.0705434489e-02    3.4610410689e+00    1.9982857356e-06    2.6481291174e-06    2.8557484646e-06    3.6053959029e+00   -1.0456636948e-02          1089040879    1.0456636948e-02          1089040775   -1.9305800312e-01          1089039628    2.0605120803e-01          1089043227   -3.4681525286e-05          1857317547    3.1747518656e-05         -1448477092   -3.6485774053e-05          1857320616    3.6520213041e-05          1089415547   -4.0763328435e-05         -1448744230    3.5761504823e-05         -1448713024   -2.2106252108e-01          1089039628    2.0132730550e-01          1089043827   -8.3617779782e-05          1857579884    7.5641616266e-05         -1448546248   -7.9793126495e-05         -1448622304    8.6667541499e-05         -1448563424   -1.0407422762e-04         -1448651211    1.0740755545e-04         -1448475299   -1.4480961240e-02          1089346565    1.4155136999e-02         -1448449089    6.6936900940e+00    4.3963876253e-01    0.0000000000e+00    0.0000000000e+00   -4.5303064173e-07    7.4630256147e-09    0.0000000000e+00    0.0000000000e+00
    2.1770126397e+01    2.5426380883e-02    3.7620077449e-01    1.4795687055e+01    1.4419486281e+01    2.1642888020e-02    0.0000000000e+00    0.0000000000e+00    1.4774044167e+01    3.7575337182e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.4395297664e+01    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    1.2523014987e-06    0.0000000000e+00    8.2432555190e+02    1.0690770000e+06   -1.0000000000e+00    2.1641635718e-02    0.0000000000e+00    1.4840708156e-02    7.3868712878e+00    1.9526587384e-06    2.4965517555e-06    2.6785473199e-06    7.3723250433e+00   -1.0057927511e-02          1089047478    1.0057927511e-02          1089047376   -2.5503237374e-01          1089045027    3.1551703098e-01          1089040228   -3.2776652484e-05          1857311543    3.1650159632e-05         -1448644012   -3.4305591193e-05         -1448523250    3.7273517426e-05          1089414947   -3.8856447307e-05         -1448795766    3.4509314956e-05          1857594981   -2.5365867633e-01          1089045627    3.1184242568e-01          1089040828   -8.8829542340e-05          1857247429    8.6926637259e-05         -1448695058   -8.5627049159e-05         -1448622304    8.7430257234e-05          1947586459   -1.0397091304e-04         -1448651211    1.0752154765e-04         -1448475299   -1.4449618963e-02         -1448841987    1.4140592236e-02         -1448449089    1.4395298220e+01    5.8804916729e-01    0.0000000000e+00    0.0000000000e+00   -5.5656054242e-07    6.3031951065e-09    0.0000000000e+00    0.0000000000e+00
    2.6124151676e+01    2.4395407952e-02    5.9560451663e-01    2.4414615972e+01    2.3819011455e+01    2.1674987301e-02    0.0000000000e+00    0.0000000000e+00    2.4392940985e+01    4.2393666440e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.3794823321e+01    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    2.0406561426e-06    0.0000000000e+00    8.2431090170e+02    1.0690580000e+06   -1.0000000000e+00    2.1672946645e-02    0.0000000000e+00    2.7325707858e-02    1.2139648376e+01    1.9860036158e-06    2.3860351390e-06    2.5224894102e-06    1.2225960007e+01   -1.4278596125e-02          1089044478    1.4278596125e-02          1089044376   -3.8563383604e-01          1089042027    3.1534699045e-01          1089046828   -3.4463634797e-05         -1448829341    3.2847452904e-05          1857442920   -3.2695211394e-05          1857495828    3.7246337541e-05          1857298960   -3.4650812416e-05          1857384858    3.4334491320e-05         -1448712497   -3.8725200459e-01          1089042628    3.1273644441e-01          1089047428   -9.3757583002e-05         -1448832255    9.2749126457e-05         -1448695058   -9.8842686177e-05          1857541518    9.2479324945e-05          1947586459   -1.0476081169e-04         -1448651211    1.0504314197e-04         -1448475299   -1.4163611990e-02         -1448841987    1.4154071928e-02         -1448449089    2.3794823952e+01    3.1355265633e-01    0.0000000000e+00    0.0000000000e+00   -6.3127917599e-07    3.7440446458e-09    0.0000000000e+00    0.0000000000e+00
    3.0478176956e+01    4.5830230748e-02    2.2343759497e+00    4.8753320969e+01    4.6518945019e+01    2.1855086437e-02    0.0000000000e+00    0.0000000000e+00    4.8731465882e+01    4.7060026079e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.6494757351e+01    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    2.8559516601e-06    0.0000000000e+00    8.2429393832e+02    1.0690360000e+06   -1.0000000000e+00    2.1852230485e-02    0.0000000000e+00    4.6573041402e-02    2.4001081231e+01    1.9943128890e-06    2.3226049423e-06    2.4448863459e-06    2.4683804848e+01   -2.0449163147e-02          1089041478    2.0449163147e-02          1089041376   -5.6688878052e-01          1089039627    4.7156161987e-01          1089043827   -3.1761508526e-05          1857310562    2.9494716402e-05          1857540272   -3.3953039420e-05         -1448521105    3.5814302477e-05          1857552350   -3.4693236913e-05         -1448800602    3.5810440439e-05          1947608022   -5.7741613702e-01          1089039627    4.7296605953e-01          1089044427   -1.0301438343e-04         -1448832255    9.6368196100e-05         -1448656019   -9.8991566577e-05          1857541518    1.0332262464e-04         -1448716704   -1.0610961403e-04         -1448651211    1.0087565486e-04         -1448475299   -1.3571731683e-02         -1448841987    1.4181757566e-02         -1448449089    4.6494758020e+01    3.0789374647e+00    0.0000000000e+00    0.0000000000e+00   -6.6865766420e-07    2.7919808049e-09    0.0000000000e+00    0.0000000000e+00
    3.4832202235e+01    1.2347030140e-02    1.0272518985e+00    8.3198298442e+01    8.2171046544e+01    2.1986426551e-02    0.0000000000e+00    0.0000000000e+00    8.3176312016e+01    4.8991404370e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.2146859069e+01    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    3.5614012469e-06    0.0000000000e+00    8.2428622769e+02    1.0690260000e+06   -1.0000000000e+00    2.1982865150e-02    0.0000000000e+00    7.7212659111e-02    4.1866529293e+01    2.0250077828e-06    2.2817229503e-06    2.3943705464e-06    4.1232563362e+01   -2.5905210485e-02          1089039691    2.5905210485e-02          1089039563   -5.7074472073e-01          1089046227    6.9353368524e-01          1089041428   -3.3372882128e-05         -1448664325    3.0427606192e-05         -1448650664   -3.3717802109e-05         -1448678935    3.1741378701e-05          1857680729   -3.1256297907e-05         -1448608915    3.3613589847e-05          1089451752   -5.7855818445e-01          1089046227    6.9770563494e-01          1089041427   -1.1051699940e-04          1857468727    9.7611362157e-05          1857566085   -9.9181984112e-05          1857357376    1.0654925786e-04          1857510295   -1.0789525373e-04         -1448651211    9.4695588187e-05         -1448475299   -1.2791418698e-02         -1448841987    1.4202022839e-02         -1448449089    8.2146859762e+01    8.7519887969e-01    0.0000000000e+00    0.0000000000e+00   -6.9347269178e-07    1.0441843075e-09    0.0000000000e+00    0.0000000000e+00
    3.9186227515e+01    3.9239400951e-02    5.3944914906e+00    1.3747639770e+02    1.3208190621e+02    2.1954852425e-02    0.0000000000e+00    0.0000000000e+00    1.3745444285e+02    5.2173918731e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3205771905e+02    0.0000000000e+00    0.0000000000e+00    8.2442039263e+02    1.0692000000e+06    1.0000000000e+00    4.0755547052e-06    0.0000000000e+00    8.2427466175e+02    1.0690110000e+06   -1.0000000000e+00    2.1950776870e-02    0.0000000000e+00    1.3696736641e-01    6.7815418417e+01    2.0712108556e-06    2.3293913060e-06    2.4097181014e-06    6.9502050252e+01   -3.2928794547e-02          1089040772    3.2928794547e-02          1089040882   -8.3893137454e-01          1089043227    6.9685648395e-01          1089048027   -3.2731340504e-05          1857254725    3.7094701103e-05         -1448554604   -3.2411327184e-05         -1448620957    3.8352010950e-05          1857552350   -3.2916878102e-05         -1448569410    3.4324035424e-05          1089451752   -8.4199239419e-01          1089043227    7.5533884479e-01          1089039627   -1.1008326131e-04          1857468727    9.1241159338e-05          1857262926   -8.9867666363e-05          1947552223    1.1461183733e-04         -1448551072   -1.0976702328e-04         -1448651211    9.2834285051e-05         -1448693757   -1.2658686786e-02          1857232448    1.4187753475e-02         -1448449089    1.3205771975e+02    5.1914187225e+00    0.0000000000e+00    0.0000000000e+00   -7.0210950940e-07   -3.3072111465e-10    0.0000000000e+00    0.0000000000e+00
