#[0]step() [1]time(s) [2]total_lev0(J) [3]E_lev0(J) [4]B_lev0(J)
0 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
8 9.24592500005876e-16 4.39253067947766e-01 2.35367317606227e-01 2.03885750341539e-01
16 1.84918500001175e-15 1.50681878581831e+00 8.24589498447047e-01 6.82229287371262e-01
24 2.77377750001763e-15 2.49595607894611e+00 1.40474865046839e+00 1.09120742847772e+00
32 3.69837000002350e-15 3.35050168693077e+00 1.74422838820008e+00 1.60627329873069e+00
40 4.62296250002938e-15 6.01676137417819e+00 3.14864215583313e+00 2.86811921834506e+00
48 5.54755500003526e-15 9.16963603147969e+00 5.01763168951650e+00 4.15200434196319e+00
56 6.47214750004113e-15 1.11728250082404e+01 5.86466842405490e+00 5.30815658418546e+00
64 7.39674000004701e-15 1.70296849148010e+01 8.74210487461956e+00 8.28758004018148e+00
72 8.32133250005289e-15 2.61196081919560e+01 1.40945951666721e+01 1.20250130252839e+01
80 9.24592500005877e-15 3.14995050809188e+01 1.67200123932665e+01 1.47794926876523e+01
88 1.01705175000647e-14 4.29760985929394e+01 2.18742813240464e+01 2.11018172688930e+01
96 1.10951100000705e-14 6.62950880885438e+01 3.52692428997765e+01 3.10258451887674e+01
104 1.20197025000764e-14 8.19672006713331e+01 4.38749466525021e+01 3.80922540188310e+01
112 1.29442950000823e-14 1.02594628853387e+02 5.22482806268897e+01 5.03463482264973e+01
120 1.38688875000882e-14 1.55545110082759e+02 8.15025533549981e+01 7.40425567277606e+01
128 1.47934800000941e-14 2.00342959880142e+02 1.07572236407635e+02 9.27707234725069e+01
136 1.57180725001000e-14 2.36616551254057e+02 1.21452262358272e+02 1.15164288895785e+02
144 1.66426650001058e-14 3.42976315691797e+02 1.77142309115259e+02 1.65834006576538e+02
152 1.75672575001117e-14 4.60667082697150e+02 2.46694901421200e+02 2.13972181275950e+02
160 1.84918500001176e-14 5.29930249712678e+02 2.75161177671552e+02 2.54769072041127e+02
168 1.94164425001235e-14 7.19276518074527e+02 3.67408461409537e+02 3.51868056664990e+02
176 2.03410350001294e-14 9.95816120030618e+02 5.29233219259714e+02 4.66582900770905e+02
184 2.12656275001352e-14 1.14838676201147e+03 6.02880252785753e+02 5.45506509225718e+02
192 2.21902200001411e-14 1.44960714334677e+03 7.36448736891677e+02 7.13158406455095e+02
200 2.31148125001470e-14 2.02573185777777e+03 1.06478894159007e+03 9.60942916187704e+02
208 2.40394050001529e-14 2.39009401378852e+03 1.26397507100094e+03 1.12611894278759e+03
216 2.49639975001588e-14 2.82989705666255e+03 1.43920347543964e+03 1.39069358122291e+03
224 2.58885900001647e-14 3.89175193073468e+03 2.02037440843527e+03 1.87137752229941e+03
232 2.68131825001705e-14 4.74160608315145e+03 2.51318367443437e+03 2.22842240871708e+03
240 2.77377750001764e-14 5.37163032610334e+03 2.74914568819673e+03 2.62248463790661e+03
248 2.86623675001823e-14 7.10275284093534e+03 3.64509361616814e+03 3.45765922476720e+03
256 2.95869600001882e-14 8.91881438283459e+03 4.71407485360575e+03 4.20473952922885e+03
264 3.05115525001941e-14 9.90382363647535e+03 5.11283486107414e+03 4.79098877540121e+03
272 3.14361450002000e-14 1.24047402404137e+04 6.31289040278858e+03 6.09184983762514e+03
280 3.23607375002058e-14 1.58707802395882e+04 8.33146926060610e+03 7.53931097898206e+03
288 3.32853300002117e-14 1.76512900607679e+04 9.18441874823410e+03 8.46687131253381e+03
296 3.42099225002176e-14 2.08800596804794e+04 1.05868319128902e+04 1.02932277675892e+04
304 3.51345150002235e-14 2.67419391469237e+04 1.39078935253592e+04 1.28340456215645e+04
312 3.60591075002294e-14 3.02208775133373e+04 1.58003218373601e+04 1.44205556759772e+04
320 3.69837000002352e-14 3.40510380616448e+04 1.72851298404943e+04 1.67659082211505e+04
328 3.79082925002411e-14 4.28189989246620e+04 2.20477315465093e+04 2.07712673781527e+04
336 3.88328850002470e-14 4.94331382131065e+04 2.58655224440357e+04 2.35676157690708e+04
344 3.97574775002529e-14 5.39077922507697e+04 2.74934584886137e+04 2.64143337621560e+04
352 4.06820700002588e-14 6.55048743148818e+04 3.34350452282626e+04 3.20698290866192e+04
360 4.16066625002647e-14 7.70000735685270e+04 4.01682581991574e+04 3.68318153693696e+04
