#[0]step() [1]time(s) [2]momentum_x_lev0(kg*m/s) [3]momentum_y_lev0(kg*m/s) [4]momentum_z_lev0(kg*m/s)
0 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
8 9.24592500005876e-16 1.27142600240153e-09 -2.19204265049691e-16 -5.83810082124325e-17
16 1.84918500001175e-15 3.97784850020242e-09 -1.49770086861232e-16 9.71616071382725e-16
24 2.77377750001763e-15 6.09720314850172e-09 -1.35747630485946e-16 9.66095311119570e-16
32 3.69837000002350e-15 1.03272159240176e-08 -2.35414417773004e-15 1.32247722783617e-15
40 4.62296250002938e-15 1.80578502506450e-08 -2.74607810510407e-15 4.33012815575774e-16
48 5.54755500003526e-15 2.44010488346195e-08 -2.13846551936032e-15 2.49167637426144e-15
56 6.47214750004113e-15 3.36378006163792e-08 -1.17296030201773e-15 1.37716850841104e-15
64 7.39674000004701e-15 5.34814146709544e-08 -5.98213050467594e-17 2.72564373549808e-15
72 8.32133250005289e-15 7.23579987622385e-08 -8.67888203604550e-16 2.02621046360360e-15
80 9.24592500005877e-15 9.19469876079740e-08 -1.51652496350046e-15 4.32057726378103e-16
88 1.01705175000647e-14 1.37809638319072e-07 -2.55877637836215e-15 7.21598836368143e-16
96 1.10951100000705e-14 1.90698848070529e-07 -1.32036125473771e-15 -3.23133568290598e-16
104 1.20197025000764e-14 2.33495655123836e-07 2.09602716533663e-15 1.06792250429281e-15
112 1.29442950000823e-14 3.29210721930170e-07 -5.71952326859383e-16 4.52941906327943e-17
120 1.38688875000882e-14 4.64933190426294e-07 2.61985916383614e-16 -5.74376948388485e-16
128 1.47934800000941e-14 5.64709311898257e-07 -3.14783347069507e-17 3.76494746751985e-16
136 1.57180725001000e-14 7.46943557640655e-07 -1.64989924176805e-17 -4.90357105851964e-16
144 1.66426650001058e-14 1.06192352301415e-06 9.97904999848098e-16 1.73097632069419e-16
152 1.75672575001117e-14 1.30517526064104e-06 2.11623933345009e-15 6.09584189014319e-16
160 1.84918500001176e-14 1.62924678958369e-06 -2.70220451797375e-16 -8.87493041233879e-17
168 1.94164425001235e-14 2.28715095713053e-06 -1.40873841426759e-15 -2.28342389175121e-16
176 2.03410350001294e-14 2.87417882113409e-06 5.52696322468867e-16 -1.89722159906504e-15
184 2.12656275001352e-14 3.43625470229809e-06 2.53219051417600e-15 -1.75147697565515e-15
192 2.21902200001411e-14 4.67254595897446e-06 1.47138468563973e-15 -5.27314745033211e-16
200 2.31148125001470e-14 6.00836288977774e-06 1.32153362934191e-15 6.04083794711261e-16
208 2.40394050001529e-14 7.01382559184733e-06 -1.27818810039515e-16 1.81510351494542e-16
216 2.49639975001588e-14 9.11182084121563e-06 9.18429123600283e-16 -1.44914522760728e-16
224 2.58885900001647e-14 1.18980928989435e-05 -8.54985089623055e-16 -5.05320313504713e-17
232 2.68131825001705e-14 1.38153298898477e-05 -8.21316617493818e-16 -7.29435248750227e-17
240 2.77377750001764e-14 1.70654967652844e-05 -9.95180414257308e-18 9.54398010020572e-16
248 2.86623675001823e-14 2.23227782173814e-05 -2.44610177722676e-16 -1.11447732833216e-18
256 2.95869600001882e-14 2.61367519135974e-05 -3.87935621670890e-17 9.02811228151079e-16
264 3.05115525001941e-14 3.08448066744597e-05 9.75582855752342e-16 6.28398114113595e-16
272 3.14361450002000e-14 3.97738768723926e-05 1.29670215541107e-15 2.16635388849053e-15
280 3.23607375002058e-14 4.72690409293098e-05 7.73811059327458e-16 1.31680909155372e-15
288 3.32853300002117e-14 5.39298823158101e-05 -4.53740674426515e-16 -1.53392998342895e-15
296 3.42099225002176e-14 6.75758774837655e-05 1.36515189361386e-15 3.69070428104089e-16
304 3.51345150002235e-14 8.14496948331214e-05 5.49874617521506e-16 -1.76124500631711e-15
312 3.60591075002294e-14 9.11793446426911e-05 2.50434840851259e-15 -8.18718509982178e-16
320 3.69837000002352e-14 1.10018474118521e-04 1.64361104912776e-17 -6.86390012613528e-16
328 3.79082925002411e-14 1.33547932313332e-04 5.59368503894733e-16 4.90479006059761e-16
336 3.88328850002470e-14 1.48693870922250e-04 2.79815261617878e-15 1.48126476431720e-16
344 3.97574775002529e-14 1.72449980941704e-04 2.08019310829067e-15 9.74228716048190e-16
352 4.06820700002588e-14 2.08544919012756e-04 1.74966875745912e-15 5.06996154840397e-16
360 4.16066625002647e-14 2.33107624639527e-04 2.21812706838656e-15 6.20681909018598e-16
368 4.25312550002705e-14 2.61145962656519e-04 2.90931363528577e-15 -1.29831350071471e-17
376 4.34558475002764e-14 3.10989725070884e-04 3.47166729592623e-15 8.32257432983360e-16
384 4.43804400002823e-14 3.50285956413062e-04 1.97551455710255e-15 8.81865999461688e-16
392 4.53050325002882e-14 3.82652599622647e-04 3.07962525633713e-15 -8.71112181778738e-16
400 4.62296250002941e-14 4.44595526149154e-04 2.70121515088098e-15 -3.98048651978389e-16
408 4.71542175003000e-14 5.03763245823376e-04 3.88502235832258e-16 -1.71322111562341e-15
416 4.80788100003058e-14 5.42385642295326e-04 -6.26721107872809e-16 -9.71078585858182e-18
424 4.90034025003117e-14 6.11943223965824e-04 -4.54630981770643e-16 1.12506867096041e-15
432 4.99279950003176e-14 6.93540057833822e-04 -4.83463989534902e-16 -1.68768061729264e-16
440 5.08525875003235e-14 7.42646833149218e-04 -2.74742232443234e-16 4.48351364114519e-16
448 5.17771800003294e-14 8.14026663193443e-04 -1.06685559585146e-15 1.17191951351923e-15
456 5.27017725003352e-14 9.15801298728235e-04 -3.11644174332268e-15 4.98573564058365e-16
464 5.36263650003411e-14 9.80754222495293e-04 -3.12475837840779e-15 1.02685685240471e-15
472 5.45509575003470e-14 1.04937762991557e-03 -2.99716089668764e-15 -2.10650359088558e-16
480 5.54755500003529e-14 1.16365045340563e-03 -3.81227134273026e-15 1.41304845206534e-15
488 5.64001425003588e-14 1.24827500158218e-03 -4.37552644164382e-15 1.65998732448709e-15
496 5.73247350003647e-14 1.31289093597434e-03 -1.87608585846914e-15 5.72683949053490e-16
