#[0]step() [1]time(s) [2]total(J) [3]ele(J) [4]ion(J) [5]total_mean(J) [6]ele_mean(J) [7]ion_mean(J)
0 0.00000000000000e+00 5.59975035406217e-02 5.59975035406217e-02 0.00000000000000e+00 1.20231281780017e-18 2.40462563560033e-18 0.00000000000000e+00
8 9.24592500005876e-16 5.58667149477951e-02 5.58667145667991e-02 3.80995949168591e-10 1.19950467830046e-18 2.39900934024032e-18 1.63605976785390e-26
16 1.84918500001175e-15 5.55206042488212e-02 5.55205982405584e-02 6.00826282106483e-09 1.19207339469953e-18 2.38414653139430e-18 2.58004766131695e-25
24 2.77377750001763e-15 5.49814621526518e-02 5.49814320746328e-02 3.00780189869768e-08 1.18049756699554e-18 2.36099384239107e-18 1.29159999912658e-24
32 3.69837000002350e-15 5.43049269160353e-02 5.43048344091192e-02 9.25069161327294e-08 1.16597179467986e-18 2.33193961695938e-18 3.97240033819946e-24
40 4.62296250002938e-15 5.35596055524855e-02 5.35593890179674e-02 2.16534518177407e-07 1.14996912720155e-18 2.29992895605191e-18 9.29835118496031e-24
48 5.54755500003526e-15 5.28179512364556e-02 5.28175265250580e-02 4.24711397610114e-07 1.13404519427313e-18 2.26807215073475e-18 1.82378115067947e-23
56 6.47214750004113e-15 5.21464692393109e-02 5.21457343583062e-02 7.34881004737146e-07 1.11962791919758e-18 2.23922428138653e-18 3.15570086410151e-23
64 7.39674000004701e-15 5.15967460011744e-02 5.15955892002962e-02 1.15680087810989e-06 1.10782490560476e-18 2.21560013626205e-18 4.96749474692231e-23
72 8.32133250005289e-15 5.12010613076731e-02 5.11993714219144e-02 1.68988575866711e-06 1.09932922724905e-18 2.19858588800210e-18 7.25664959970775e-23
80 9.24592500005877e-15 5.09687182963661e-02 5.09663958239622e-02 2.32247240387658e-06 1.09434063020529e-18 2.18858152959532e-18 9.97308152547321e-23
88 1.01705175000647e-14 5.08872386892905e-02 5.08842060607551e-02 3.03262853540539e-06 1.09259119550227e-18 2.18505216490769e-18 1.30226096850887e-22
96 1.10951100000705e-14 5.09258673768184e-02 5.09220769208847e-02 3.79045593371446e-06 1.09342058544313e-18 2.18667840242458e-18 1.62768461672782e-22
104 1.20197025000764e-14 5.10413603023563e-02 5.10367988852927e-02 4.56141706354748e-06 1.09590031428744e-18 2.19160475376418e-18 1.95874810699629e-22
112 1.29442950000823e-14 5.11857075062623e-02 5.11803971158855e-02 5.31039037672540e-06 1.09899956840587e-18 2.19777109984531e-18 2.28036966427547e-22
120 1.38688875000882e-14 5.13130016875307e-02 5.13069961268823e-02 6.00556064840218e-06 1.10173267999287e-18 2.20320747125539e-18 2.57888730357855e-22
128 1.47934800000941e-14 5.13870616587715e-02 5.13804398239400e-02 6.62183483153641e-06 1.10332280896432e-18 2.20636126536320e-18 2.84352565450936e-22
136 1.57180725001000e-14 5.13855349835244e-02 5.13783917527164e-02 7.14323080808347e-06 1.10329002998130e-18 2.20627331778953e-18 3.06742173062540e-22
144 1.66426650001058e-14 5.13020178979778e-02 5.12944539674358e-02 7.56393054198046e-06 1.10149684892662e-18 2.20266889013617e-18 3.24807717078892e-22
152 1.75672575001117e-14 5.11460589079389e-02 5.11381709426795e-02 7.88796525932908e-06 1.09814828013482e-18 2.19595783796461e-18 3.38722305031831e-22
160 1.84918500001176e-14 5.09392243160471e-02 5.09310967013546e-02 8.12761469248488e-06 1.09370737000004e-18 2.18706572675109e-18 3.49013248986243e-22
168 1.94164425001235e-14 5.07114155313426e-02 5.07031145394296e-02 8.30099191306410e-06 1.08881612655989e-18 2.17727579476552e-18 3.56458354265472e-22
176 2.03410350001294e-14 5.04947962574446e-02 5.04863673575628e-02 8.42889988181632e-06 1.08416513119184e-18 2.16796831144918e-18 3.61950934491590e-22
184 2.12656275001352e-14 5.03178572797764e-02 5.03093252603661e-02 8.53201941034802e-06 1.08036610467515e-18 2.16036583029231e-18 3.66379057999961e-22
192 2.21902200001411e-14 5.02012880032047e-02 5.01926597961066e-02 8.62820709817170e-06 1.07786326568194e-18 2.15535602184711e-18 3.70509516776613e-22
200 2.31148125001470e-14 5.01557386496879e-02 5.01470076258743e-02 8.73102381361317e-06 1.07688528330571e-18 2.15339564197443e-18 3.74924636988881e-22
208 2.40394050001529e-14 5.01793910462643e-02 5.01705422587698e-02 8.84878749444372e-06 1.07739311986587e-18 2.15440625812706e-18 3.79981604674278e-22
216 2.49639975001588e-14 5.02604708395358e-02 5.02514858595571e-02 8.98497997870696e-06 1.07913397023510e-18 2.15788211053448e-18 3.85829935730642e-22
224 2.58885900001647e-14 5.03801039219891e-02 5.03709646251890e-02 9.13929680007928e-06 1.08170259168020e-18 2.16301272680454e-18 3.92456555869289e-22
232 2.68131825001705e-14 5.05144617598055e-02 5.05051525456766e-02 9.30921412884043e-06 1.08458736582842e-18 2.16877497856918e-18 3.99753087657985e-22
240 2.77377750001764e-14 5.06414518820009e-02 5.06319599594841e-02 9.49192251682353e-06 1.08731394901509e-18 2.17422029914145e-18 4.07598888734897e-22
248 2.86623675001823e-14 5.07419953181709e-02 5.07323095154032e-02 9.68580276766995e-06 1.08947269993093e-18 2.17852947543373e-18 4.15924428124054e-22
256 2.95869600001882e-14 5.08045956188243e-02 5.07947039825572e-02 9.89163626710822e-06 1.09081678027585e-18 2.18120879729188e-18 4.24763259824035e-22
264 3.05115525001941e-14 5.08264800245259e-02 5.08163670149326e-02 1.01130095933329e-05 1.09128665660643e-18 2.18213904381540e-18 4.34269397448397e-22
272 3.14361450002000e-14 5.08121676947390e-02 5.08018116585585e-02 1.03560361805893e-05 1.09097935902230e-18 2.18151401268259e-18 4.44705361998589e-22
280 3.23607375002058e-14 5.07725009910861e-02 5.07618725836202e-02 1.06284074658965e-05 1.09012768201482e-18 2.17979896259310e-18 4.56401436531201e-22
288 3.32853300002117e-14 5.07224018728730e-02 5.07114638872115e-02 1.09379856614414e-05 1.08905201241922e-18 2.17763432960096e-18 4.69695237471632e-22
296 3.42099225002176e-14 5.06770982507481e-02 5.06658069308941e-02 1.12913198540608e-05 1.08807930609966e-18 2.17567374420585e-18 4.84867993465842e-22
304 3.51345150002235e-14 5.06498059685935e-02 5.06381137944359e-02 1.16921741575726e-05 1.08749331817900e-18 2.17448455501621e-18 5.02081341801379e-22
312 3.60591075002294e-14 5.06481402026647e-02 5.06359995824906e-02 1.21406201741685e-05 1.08745755280375e-18 2.17439376725030e-18 5.21338357195055e-22
320 3.69837000002352e-14 5.06739837293536e-02 5.06613511112344e-02 1.26326181191725e-05 1.08801243474367e-18 2.17548240392273e-18 5.42465564595670e-22
328 3.79082925002411e-14 5.07230817601964e-02 5.07099215002419e-02 1.31602599545108e-05 1.08906661016362e-18 2.17756809694749e-18 5.65123379738256e-22
336 3.88328850002470e-14 5.07863156118073e-02 5.07726028909121e-02 1.37127208951781e-05 1.09042429337275e-18 2.18025973977709e-18 5.88846968409181e-22
344 3.97574775002529e-14 5.08513967756824e-02 5.08371192383221e-02 1.42775373603456e-05 1.09182163990745e-18 2.18303017869112e-18 6.13101123785334e-22
352 4.06820700002588e-14 5.09057202668087e-02 5.08908781133971e-02 1.48421534115463e-05 1.09298801029111e-18 2.18533867390917e-18 6.37346673053506e-22
360 4.16066625002647e-14 5.09389624101416e-02 5.09235669539850e-02 1.53954561566433e-05 1.09370174666315e-18 2.18674238691610e-18 6.61106410202200e-22
368 4.25312550002705e-14 5.09448790908333e-02 5.09289500044098e-02 1.59290864235137e-05 1.09382878270199e-18 2.18697354402545e-18 6.84021378522492e-22
376 4.34558475002764e-14 5.09221930114822e-02 5.09057550172564e-02 1.64379942258136e-05 1.09334169377365e-18 2.18597751282406e-18 7.05874723228825e-22
384 4.43804400002823e-14 5.08750309948787e-02 5.08581101415382e-02 1.69208533405454e-05 1.09232908618419e-18 2.18393156287428e-18 7.26609494107049e-22
392 4.53050325002882e-14 5.08119290390636e-02 5.07945494475341e-02 1.73795915295450e-05 1.09097423488712e-18 2.18120216130180e-18 7.46308472446276e-22
400 4.62296250002941e-14 5.07435756712804e-02 5.07257570892640e-02 1.78185820164673e-05 1.08950663142216e-18 2.17824810339260e-18 7.65159451720239e-22
408 4.71542175003000e-14 5.06816307560630e-02 5.06633872267025e-02 1.82435293605431e-05 1.08817662274580e-18 2.17556983809644e-18 7.83407395159427e-22
416 4.80788100003058e-14 5.06356576225893e-02 5.06169972760395e-02 1.86603465497837e-05 1.08718954146262e-18 2.17357777670896e-18 8.01306216271689e-22
424 4.90034025003117e-14 5.06119888638027e-02 5.05929145750619e-02 1.90742887408264e-05 1.08668135359224e-18 2.17254362560429e-18 8.19081580195115e-22
432 4.99279950003176e-14 5.06125218336923e-02 5.05930328336415e-02 1.94890000507372e-05 1.08669279689755e-18 2.17254870382375e-18 8.36889971357794e-22
440 5.08525875003235e-14 5.06345830339877e-02 5.06146765433950e-02 1.99064905926752e-05 1.08716646915461e-18 2.17347812060186e-18 8.54817707351178e-22
448 5.17771800003294e-14 5.06713315829418e-02 5.06510043355813e-02 2.03272473604865e-05 1.08795549096182e-18 2.17503809622314e-18 8.72885700498360e-22
456 5.27017725003352e-14 5.07134817285773e-02 5.06927310489489e-02 2.07506796284301e-05 1.08886048952721e-18 2.17682991047036e-18 8.91068584056713e-22
464 5.36263650003411e-14 5.07510253163998e-02 5.07298494294516e-02 2.11758869482167e-05 1.08966658147794e-18 2.17842383526460e-18 9.09327691283914e-22
472 5.45509575003470e-14 5.07754114422411e-02 5.07538090195408e-02 2.16024227002466e-05 1.09019017181361e-18 2.17945269978363e-18 9.27643843593937e-22
480 5.54755500003529e-14 5.07807403860010e-02 5.07587095140306e-02 2.20308719704575e-05 1.09030458865334e-18 2.17966313514114e-18 9.46042165546917e-22
488 5.64001425003588e-14 5.07647533772258e-02 5.07422901318283e-02 2.24632453974843e-05 1.08996133432318e-18 2.17895805964905e-18 9.64608997299098e-22
496 5.73247350003647e-14 5.07299332968036e-02 5.07070302814927e-02 2.29030153109042e-05 1.08921371833387e-18 2.17744394322129e-18 9.83493446439016e-22
504 5.82493275003705e-14 5.06821488189734e-02 5.06587941661011e-02 2.33546528723536e-05 1.08818774598591e-18 2.17537260445977e-18 1.00288751205970e-21
512 5.91739200003764e-14 5.06302355646928e-02 5.06064125535071e-02 2.38230111856817e-05 1.08707312538519e-18 2.17312325117590e-18 1.02299959448599e-21
520 6.00985125003823e-14 5.05827826575645e-02 5.05584703255107e-02 2.43123320537692e-05 1.08605427213505e-18 2.17106453242633e-18 1.04401184376570e-21
528 6.10231050003882e-14 5.05482905074095e-02 5.05234648295050e-02 2.48256779045065e-05 1.08531369708040e-18 2.16956133839517e-18 1.06605576562941e-21
536 6.19476975003941e-14 5.05317018606263e-02 5.05063378311788e-02 2.53640294474686e-05 1.08495752508350e-18 2.16882587669363e-18 1.08917347337209e-21
544 6.28722900004000e-14 5.05352940934314e-02 5.05093680847592e-02 2.59260086721699e-05 1.08503465329946e-18 2.16895600080597e-18 1.11330579293900e-21
552 6.37968825004058e-14 5.05575516528409e-02 5.05310438619139e-02 2.65077909270136e-05 1.08551254154945e-18 2.16988679461145e-18 1.13828848745001e-21
560 6.47214750004117e-14 5.05934149625493e-02 5.05663112127648e-02 2.71037497845122e-05 1.08628255653628e-18 2.17140123312377e-18 1.16387994878122e-21
568 6.56460675004176e-14 5.06358059929354e-02 5.06080990800205e-02 2.77069129148862e-05 1.08719272709693e-18 2.17319567342033e-18 1.18978077353306e-21
576 6.65706600004235e-14 5.06764595238042e-02 5.06481497914757e-02 2.83097323284419e-05 1.08806559210273e-18 2.17491551736694e-18 1.21566683851491e-21
584 6.74952525004294e-14 5.07075175953660e-02 5.06786121994273e-02 2.89053959386376e-05 1.08873243464344e-18 2.17622362366545e-18 1.24124562143746e-21
592 6.84198450004352e-14 5.07235285903764e-02 5.06940402224511e-02 2.94883679253047e-05 1.08907620397796e-18 2.17688612855091e-18 1.26627940500533e-21
600 6.93444375004411e-14 5.07220424159974e-02 5.06919870715182e-02 3.00553444792323e-05 1.08904429458214e-18 2.17679796284611e-18 1.29062631817387e-21
608 7.02690300004470e-14 5.07037894258304e-02 5.06731842292648e-02 3.06051965656248e-05 1.08865238775321e-18 2.17599053762809e-18 1.31423787831724e-21
616 7.11936225004529e-14 5.06728793925699e-02 5.06417401915495e-02 3.11392010203454e-05 1.08798872371753e-18 2.17464027852017e-18 1.33716891488415e-21
624 7.21182150004588e-14 5.06357488685049e-02 5.06040884354280e-02 3.16604330768797e-05 1.08719150058806e-18 2.17302344969262e-18 1.35955148349866e-21
632 7.30428075004647e-14 5.05994725231496e-02 5.05672993366844e-02 3.21731864651938e-05 1.08641261738353e-18 2.17144366480301e-18 1.38156996404371e-21
640 7.39674000004705e-14 5.05712803915076e-02 5.05385981067752e-02 3.26822847324271e-05 1.08580730894849e-18 2.17021118640934e-18 1.40343148763005e-21
648 7.48919925004764e-14 5.05564346624217e-02 5.05232423967551e-02 3.31922656665728e-05 1.08548855883927e-18 2.16955178676414e-18 1.42533091439690e-21
656 7.58165850004823e-14 5.05568094867122e-02 5.05231026699372e-02 3.37068167749499e-05 1.08549660662748e-18 2.16954578666293e-18 1.44742659202175e-21
664 7.67411775004882e-14 5.05721100609789e-02 5.05378815766317e-02 3.42284843471708e-05 1.08582512263975e-18 2.17018041741711e-18 1.46982786240184e-21
672 7.76657700004941e-14 5.05988411265016e-02 5.05640826705372e-02 3.47584559643888e-05 1.08639906077412e-18 2.17130553582600e-18 1.49258572224069e-21
680 7.85903625005000e-14 5.06313720317107e-02 5.05960748367157e-02 3.52971949950321e-05 1.08709752627409e-18 2.17267933247884e-18 1.51572006934678e-21
688 7.95149550005058e-14 5.06627759855762e-02 5.06269316006908e-02 3.58443848853617e-05 1.08777179519458e-18 2.17400437307877e-18 1.53921731037778e-21
696 8.04395475005117e-14 5.06869919365814e-02 5.06505921873120e-02 3.63997492693735e-05 1.08829173173545e-18 2.17502039789319e-18 1.56306557771929e-21
704 8.13641400005176e-14 5.06991285441876e-02 5.06621651587465e-02 3.69633854411757e-05 1.08855231476089e-18 2.17551736047244e-18 1.58726904934163e-21
712 8.22887325005235e-14 5.06967053014773e-02 5.06591691804143e-02 3.75361210629827e-05 1.08850028573126e-18 2.17538870819608e-18 1.61186326643239e-21
720 8.32133250005294e-14 5.06798197789844e-02 5.06417001386489e-02 3.81196403355029e-05 1.08813773956679e-18 2.17463855858221e-18 1.63692055136208e-21
728 8.41379175005352e-14 5.06531990626091e-02 5.06144818535508e-02 3.87172090582433e-05 1.08756617072008e-18 2.17346976029719e-18 1.66258114297564e-21
736 8.50625100005411e-14 5.07626226479806e-02 5.07232126204963e-02 3.94100274842445e-05 1.08991558580010e-18 2.17813883968545e-18 1.69233191475371e-21
744 8.59871025005470e-14 5.19599274957529e-02 5.19192013039976e-02 4.07261917552627e-05 1.11562271333743e-18 2.22949657648436e-18 1.74885019050962e-21
752 8.69116950005529e-14 5.33139202306165e-02 5.32717570056710e-02 4.21632249455293e-05 1.14469405969047e-18 2.28757756060291e-18 1.81055877803651e-21
760 8.78362875005588e-14 5.77664868871983e-02 5.77212686214803e-02 4.52182657179590e-05 1.24029435657575e-18 2.47864696585800e-18 1.94174729350059e-21
768 8.87608800005647e-14 6.45913051444330e-02 6.45416124815374e-02 4.96926628955234e-05 1.38682886170556e-18 2.77152383808509e-18 2.13388532603313e-21
