#[0]step() [1]time(s) [2]xmin(m) [3]xmax(m) [4]ymin(m) [5]ymax(m) [6]zmin(m) [7]zmax(m) [8]pxmin(kg*m/s) [9]pxmax(kg*m/s) [10]pymin(kg*m/s) [11]pymax(kg*m/s) [12]pzmin(kg*m/s) [13]pzmax(kg*m/s) [14]gmin() [15]gmax() [16]wmin(1/m) [17]wmax(1/m)
0 0.00000000000000e+00 2.54382782814987e-05 6.99999976983130e-05 0.00000000000000e+00 0.00000000000000e+00 2.29471156257286e-11 2.99999925637270e-05 -5.88814836927998e-24 5.57781206009860e-24 -5.86157611103948e-24 5.98088467565078e-24 -5.66440829832073e-24 5.53218071228734e-24 1.00000000096962e+00 1.00031522700158e+00 2.17744964096033e+10 2.17744964096033e+10
8 9.24592500005876e-16 2.54369177698641e-05 6.99999383475174e-05 0.00000000000000e+00 0.00000000000000e+00 4.72324101510545e-11 2.99999711227435e-05 -5.87934310664517e-24 5.56810917990065e-24 -5.86051927052366e-24 5.97987887135593e-24 -5.65040066001730e-24 5.52016413017218e-24 1.00000000073781e+00 1.00031449473826e+00 2.17744964096033e+10 2.17744964096033e+10
16 1.84918500001175e-15 2.54333309156586e-05 6.99999791789419e-05 0.00000000000000e+00 0.00000000000000e+00 1.84312187365664e-12 2.99999893782476e-05 -5.84929632451674e-24 5.53567717928038e-24 -5.86157183400393e-24 5.97955022367578e-24 -5.61231649722381e-24 5.49025024723253e-24 1.00000000026184e+00 1.00031268642957e+00 2.17744964096033e+10 2.17744964096033e+10
24 2.77377750001763e-15 2.54297768021602e-05 6.99999205898085e-05 0.00000000000000e+00 0.00000000000000e+00 3.62697197284109e-12 2.99999854327272e-05 -5.79860537970267e-24 5.47815940601395e-24 -5.86509229896590e-24 5.98030529809150e-24 -5.54805511231497e-24 5.47032622534603e-24 1.00000000087787e+00 1.00031016052757e+00 2.17744964096033e+10 2.17744964096033e+10
32 3.69837000002350e-15 2.54262773090815e-05 6.99999514391213e-05 0.00000000000000e+00 0.00000000000000e+00 5.73658587655648e-12 2.99999970164332e-05 -5.73468506415169e-24 5.40696870146373e-24 -5.87241186796662e-24 5.97885053374527e-24 -5.52593451789849e-24 5.44812795524642e-24 1.00000000106042e+00 1.00030668559017e+00 2.17744964096033e+10 2.17744964096033e+10
40 4.62296250002938e-15 2.54228552815503e-05 6.99999860966483e-05 0.00000000000000e+00 0.00000000000000e+00 1.74797570623615e-11 2.99999351793047e-05 -5.66274512556477e-24 5.33072460834283e-24 -5.88421372500537e-24 5.97583100560823e-24 -5.50207723285573e-24 5.42242784088830e-24 1.00000000165973e+00 1.00030256288341e+00 2.17744964096033e+10 2.17744964096033e+10
48 5.54755500003526e-15 2.54195340861346e-05 6.99999449612117e-05 0.00000000000000e+00 0.00000000000000e+00 5.92008716185832e-11 2.99999467528621e-05 -5.59604345160482e-24 5.29076940577590e-24 -5.89343594607519e-24 5.97860259026920e-24 -5.47180289496961e-24 5.39383909453469e-24 1.00000000013151e+00 1.00029796902248e+00 2.17744964096033e+10 2.17744964096033e+10
56 6.47214750004113e-15 2.54163325579935e-05 6.99999574662803e-05 0.00000000000000e+00 0.00000000000000e+00 2.33020881405907e-11 2.99999682954119e-05 -5.53660424802543e-24 5.28318005864301e-24 -5.89748267214236e-24 5.98160669004087e-24 -5.43124352337876e-24 5.36202393452332e-24 1.00000000249962e+00 1.00029324178052e+00 2.17744964096033e+10 2.17744964096033e+10
64 7.39674000004701e-15 2.54132674854149e-05 6.99999900327458e-05 0.00000000000000e+00 0.00000000000000e+00 8.41208032440465e-12 2.99999993673937e-05 -5.49601404181262e-24 5.26875873271897e-24 -5.89829462627694e-24 5.98385357249444e-24 -5.40671582021039e-24 5.32687634252531e-24 1.00000000142681e+00 1.00028860489373e+00 2.17744964096033e+10 2.17744964096033e+10
72 8.32133250005289e-15 2.54103512630546e-05 6.99999606663710e-05 0.00000000000000e+00 0.00000000000000e+00 4.50662230217523e-11 2.99999913296059e-05 -5.47337712999682e-24 5.28521377967435e-24 -5.90073389412107e-24 5.98517575891988e-24 -5.41838200119446e-24 5.33421080504777e-24 1.00000000016704e+00 1.00028354406266e+00 2.17744964096033e+10 2.17744964096033e+10
80 9.24592500005877e-15 2.54075915034217e-05 6.99999905538224e-05 0.00000000000000e+00 0.00000000000000e+00 1.62491695815101e-11 2.99999961316356e-05 -5.46472693090058e-24 5.30110811144806e-24 -5.90101579988997e-24 5.98540705257567e-24 -5.41950903026276e-24 5.33637787885191e-24 1.00000000185529e+00 1.00027858383311e+00 2.17744964096033e+10 2.17744964096033e+10
