#[0]step() [1]time(s) [2]total_x(kg*m/s) [3]total_y(kg*m/s) [4]total_z(kg*m/s) [5]ele_x(kg*m/s) [6]ele_y(kg*m/s) [7]ele_z(kg*m/s) [8]ion_x(kg*m/s) [9]ion_y(kg*m/s) [10]ion_z(kg*m/s) [11]total_mean_x(kg*m/s) [12]total_mean_y(kg*m/s) [13]total_mean_z(kg*m/s) [14]ele_mean_x(kg*m/s) [15]ele_mean_y(kg*m/s) [16]ele_mean_z(kg*m/s) [17]ion_mean_x(kg*m/s) [18]ion_mean_y(kg*m/s) [19]ion_mean_z(kg*m/s)
0 0.00000000000000e+00 1.04162907655507e-11 5.38377053038776e-11 -1.64670533658744e-11 1.04162907655507e-11 5.38377053038776e-11 -1.64670533658744e-11 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 2.23646396883929e-28 1.15594015938306e-27 -3.53561285438876e-28 4.47292793767858e-28 2.31188031876613e-27 -7.07122570877751e-28 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
8 9.24592500005876e-16 9.67468258190166e-12 5.38283045221710e-11 -1.64722021645124e-11 9.48695271338688e-12 5.27139284185435e-11 -1.61112452656009e-11 1.87729868514784e-13 1.11437610362750e-12 -3.60956898911528e-13 2.07723454455970e-28 1.15573831680744e-27 -3.53671834413514e-28 4.07385477136307e-28 2.26362347629441e-27 -6.91843581187588e-28 8.06143177563371e-30 4.78531573204728e-29 -1.55000876394394e-29
16 1.84918500001175e-15 8.83212780536822e-12 5.38363554154520e-11 -1.64904902230547e-11 8.04264841366175e-12 4.91510119396041e-11 -1.49451756703632e-11 7.89479391706472e-13 4.68534347584794e-12 -1.54531455269151e-12 1.89633105003337e-28 1.15591117615963e-27 -3.54064494189536e-28 3.45364656115108e-28 2.11062593602825e-27 -6.41770619639068e-28 3.39015538915659e-29 2.01196416291019e-28 -6.63583687400041e-29
24 2.77377750001763e-15 8.11423678630098e-12 5.38346918268145e-11 -1.65202277514740e-11 6.36324343237254e-12 4.33313985131673e-11 -1.30103955113795e-11 1.75099335392844e-12 1.05032933136473e-11 -3.50983224009446e-12 1.74219389758299e-28 1.15587545753262e-27 -3.54702983574375e-28 2.73248222073840e-28 1.86072208764790e-27 -5.58687952102504e-28 7.51905574427573e-29 4.51028827417354e-28 -1.50718015046247e-28
32 3.69837000002350e-15 7.58023705722109e-12 5.38227610447816e-11 -1.65482245131046e-11 4.55966020989649e-12 3.54906505674953e-11 -1.03874427633388e-11 3.02057684732460e-12 1.83321104772864e-11 -6.16078174976581e-12 1.62753972938265e-28 1.15561929375286e-27 -3.55304097253326e-28 1.95799368491315e-28 1.52402737234212e-27 -4.46054012728194e-28 1.29708577385214e-28 7.87211215163590e-28 -2.64554181778459e-28
40 4.62296250002938e-15 7.27362462976160e-12 5.38279006148215e-11 -1.65641159848332e-11 2.75933752951864e-12 2.59951252487632e-11 -7.19792737031274e-12 4.51428710024295e-12 2.78327753660583e-11 -9.36618861452043e-12 1.56170749967191e-28 1.15572964458184e-27 -3.55645300323909e-28 1.18490527991865e-28 1.11627377332049e-27 -3.09090934121509e-28 1.93850971942517e-28 1.19518551584319e-27 -4.02199666526307e-28
48 5.54755500003526e-15 6.55946251847448e-12 5.38163205475926e-11 -1.65728978056457e-11 4.04955195567066e-13 1.53066533027838e-11 -3.55454496089604e-12 6.15450732290741e-12 3.85096672448088e-11 -1.30183528447497e-11 1.40837097463114e-28 1.15548101093963e-27 -3.55833853296077e-28 1.73894474389152e-29 6.57293068438668e-28 -1.52638053402938e-28 2.64284747487313e-28 1.65366895344059e-27 -5.59029653189216e-28
56 6.47214750004113e-15 5.89433447324105e-12 5.38230449270816e-11 -1.65738159432992e-11 -1.95066238321025e-12 4.00562576577960e-12 4.22657229262887e-13 7.84499685645131e-12 4.98174191613020e-11 -1.69964731725621e-11 1.26556247001943e-28 1.15562538894115e-27 -3.55853566472547e-28 -8.37646765746610e-29 1.72008210973683e-28 1.81496021125312e-29 3.36877170578547e-28 2.13924256690862e-27 -7.29856735057626e-28
64 7.39674000004701e-15 5.60487056590376e-12 5.38152486078858e-11 -1.65616656328583e-11 -3.90074827728409e-12 -7.36721941866544e-12 4.51992716975946e-12 9.50561884318785e-12 6.11824680265512e-11 -2.10815928026178e-11 1.20341216972440e-28 1.15545799550558e-27 -3.55592689235892e-28 -1.67504597750091e-28 -3.16360615332867e-28 1.94093165877755e-28 4.08187031694972e-28 2.62727660634403e-27 -9.05278544349538e-28
72 8.32133250005289e-15 5.20398654467366e-12 5.38187565631198e-11 -1.65527902525367e-11 -5.84467847335592e-12 -1.82357427269130e-11 8.45656545736670e-12 1.10486650180296e-11 7.20544992900328e-11 -2.50093557099034e-11 1.11733904740627e-28 1.15553331421223e-27 -3.55402127463512e-28 -2.50980183048300e-28 -7.83073024202544e-28 3.63138940170161e-28 4.74447992529553e-28 3.09413965262701e-27 -1.07394319509719e-27
80 9.24592500005877e-15 4.48016339150196e-12 5.38274424132437e-11 -1.65542565440532e-11 -7.89131396232774e-12 -2.80902479993299e-11 1.20142865789712e-11 1.23714773538297e-11 8.19176904125736e-11 -2.85685431230244e-11 9.61928216591719e-29 1.15571980661416e-27 -3.55433609957793e-28 -3.38866103890128e-28 -1.20624181755817e-27 5.15913383179409e-28 5.31251747208471e-28 3.51768143078649e-27 -1.22678060309500e-27
88 1.01705175000647e-14 3.94196894488076e-12 5.38310315126651e-11 -1.65860293453062e-11 -9.47655606523923e-12 -3.64697780479881e-11 1.49956321192740e-11 1.34185250101200e-11 9.03008095606532e-11 -3.15816614645802e-11 8.46373407764904e-29 1.15579686755377e-27 -3.56115798337425e-28 -4.06939027829116e-28 -1.56607272956784e-27 6.43937303202815e-28 5.76213709382096e-28 3.87766646467539e-27 -1.35616889987766e-27
96 1.10951100000705e-14 3.58314059485388e-12 5.38180321322961e-11 -1.66595122283153e-11 -1.05461619900554e-11 -4.30776757742839e-11 1.72964563746881e-11 1.41293025849092e-11 9.68957079065800e-11 -3.39559686030035e-11 7.69329986656954e-29 1.15551776008196e-27 -3.57693536746187e-28 -4.52869679450702e-28 -1.84982681261459e-27 7.42738511073919e-28 6.06735676782093e-28 4.16086233277851e-27 -1.45812558456629e-27
