# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Uelm_Ex
# 18 Uelm_Ey
# 19 Uelm_Ez
# 20 Uelm_Bx_m
# 21 Uelm_By_m
# 22 Uelm_Bz_m
# 23 ExMin
# 24 ExMinCell
# 25 ExMax
# 26 ExMaxCell
# 27 EyMin
# 28 EyMinCell
# 29 EyMax
# 30 EyMaxCell
# 31 EzMin
# 32 EzMinCell
# 33 EzMax
# 34 EzMaxCell
# 35 Bx_mMin
# 36 Bx_mMinCell
# 37 Bx_mMax
# 38 Bx_mMaxCell
# 39 By_mMin
# 40 By_mMinCell
# 41 By_mMax
# 42 By_mMaxCell
# 43 Bz_mMin
# 44 Bz_mMinCell
# 45 Bz_mMax
# 46 Bz_mMaxCell
# 47 JxMin
# 48 JxMinCell
# 49 JxMax
# 50 JxMaxCell
# 51 JyMin
# 52 JyMinCell
# 53 JyMax
# 54 JyMaxCell
# 55 JzMin
# 56 JzMinCell
# 57 JzMax
# 58 JzMaxCell
# 59 RhoMin
# 60 RhoMinCell
# 61 RhoMax
# 62 RhoMaxCell
# 63 PoyXmin
# 64 PoyXminInst
# 65 PoyYmin
# 66 PoyYminInst
# 67 PoyXmax
# 68 PoyXmaxInst
# 69 PoyYmax
# 70 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    4.3540252794e+00    9.1032347085e-02    4.1109068201e-02    4.5158747981e-01    4.1047841161e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.5158747981e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.1047841161e-01    0.0000000000e+00    0.0000000000e+00    1.1877011312e-03    2.1483821273e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.3556156595e-01   -5.0814704223e-03                1612    5.0814704223e-03                1458   -4.2820004501e-02                 439    6.9427111158e-02          1358283232    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944   -5.5514808677e-02                 573    6.8868018540e-02          1358284256    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    4.1047841161e-01    3.2612420808e-02   -1.4505678255e-23    4.9009457637e-24    0.0000000000e+00    0.0000000000e+00   -1.6027849196e-22    1.0062988834e-23
    8.7080505588e+00    5.6676211229e-02    9.7023302695e-02    1.7118875908e+00    1.6148642881e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.7118875908e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.6148642881e+00    0.0000000000e+00    0.0000000000e+00    2.0160610635e-03    8.4274730095e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.6712422875e-01   -5.0524242254e-03               12875    5.0524242254e-03               12723   -8.9322332114e-02          1358286304    1.1249081086e-01                 511    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944   -8.5864222697e-02                8703    1.0880939297e-01                 511    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    1.6148642881e+00    1.4922956184e-01   -2.5059690366e-21   -2.6866929765e-22    0.0000000000e+00    0.0000000000e+00   -2.6707220791e-21    2.8246186179e-22
    1.3062075838e+01    1.9206777145e-02    6.8112133665e-02    3.5462552177e+00    3.4781430840e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.5462552177e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.4781430840e+00    0.0000000000e+00    0.0000000000e+00    4.8190336962e-03    1.7746185803e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.7668176037e+00   -6.5081308651e-03                7753    6.5081308651e-03                7605   -1.4054257859e-01                3583    1.1192595272e-01          1358289376    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944   -1.3718277558e-01          1358281184    1.0677381953e-01          1358289376    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    3.4781430840e+00    4.8958042110e-02   -6.1032341919e-21   -2.3024447952e-22    0.0000000000e+00    0.0000000000e+00   -7.0174632145e-21    2.7570984627e-22
    1.7416101118e+01    5.0080295407e-02    3.6737437582e-01    7.3357070446e+00    6.9683326688e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.3357070446e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9683326688e+00    0.0000000000e+00    0.0000000000e+00    9.4073968784e-03    3.5996671942e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.7266324535e+00   -8.8476221201e-03                2633    8.8476221201e-03                2485   -1.5812617332e-01                 477    1.7476727892e-01                6655    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944   -1.7854882907e-01          1358278112    1.6884390946e-01                6655    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    6.9683326688e+00    4.3920144179e-01   -4.7124065692e-20   -7.0673901363e-21    0.0000000000e+00    0.0000000000e+00   -4.0308322905e-20    5.9066761421e-21
    2.1770126397e+01    2.5811538913e-02    3.8768212109e-01    1.5019721311e+01    1.4632039190e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.5019721311e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.4632039190e+01    0.0000000000e+00    0.0000000000e+00    1.4510807952e-02    7.5031258205e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.5020846824e+00   -9.4925050315e-03                 618    9.4925050315e-03                 404   -2.1718902257e-01                9727    2.6730065047e-01                1535    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960   -2.1045601184e-01          1358288352    2.6010978354e-01                2559    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    1.4632039190e+01    5.6452118139e-01   -1.9749236014e-19   -8.6820711948e-21    0.0000000000e+00    0.0000000000e+00   -1.8692774294e-19    9.6176269838e-21
    2.6124151676e+01    2.6601103649e-02    6.7555432844e-01    2.5395725582e+01    2.4720171254e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.5395725582e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4720171254e+01    0.0000000000e+00    0.0000000000e+00    2.7323019635e-02    1.2624811931e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2743590632e+01   -1.2737088892e-02                 437    1.2737088892e-02                 585   -3.2879701278e-01          1358282208    2.6746132859e-01          1358290400    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944   -3.2405492234e-01                5631    2.5979257539e-01          1358291424    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220960    0.0000000000e+00          -236220960    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    2.4720171254e+01    4.6496964042e-01   -7.0365906196e-19   -1.0433987529e-19    0.0000000000e+00    0.0000000000e+00   -5.7056103443e-19    7.8631589791e-20
    3.0478176956e+01    4.2822160744e-02    2.1360966297e+00    4.9882971633e+01    4.7746875004e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.9882971633e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.7746875004e+01    0.0000000000e+00    0.0000000000e+00    4.8432687855e-02    2.4618130299e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.5216408647e+01   -1.7347540321e-02                3655    1.7347540321e-02                3511   -4.7049835163e-01          1358278112    4.0109081446e-01                7679    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944   -4.8491573126e-01                 511    3.9548786175e-01                8703    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    4.7746875004e+01    2.8930791337e+00   -5.5567105577e-18   -4.5246101344e-19    0.0000000000e+00    0.0000000000e+00   -4.8745544323e-18    4.3952860948e-19
    3.4832202235e+01    1.5289464886e-02    1.3021416470e+00    8.5165939864e+01    8.3863798217e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.5165939864e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.3863798217e+01    0.0000000000e+00    0.0000000000e+00    8.1862256975e-02    4.2771641379e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.2312436228e+01   -2.2848676782e-02                 605    2.2848676782e-02                 417   -4.8681255130e-01               10751    5.8622154597e-01                2559    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944   -4.8588655704e-01               11775    5.8610810850e-01                3583    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    8.3863798217e+01    1.1749394238e+00   -1.2206635937e-17   -6.8143334324e-19    0.0000000000e+00    0.0000000000e+00   -1.1241283670e-17    4.9357858812e-19
    3.9186227515e+01    3.7815738553e-02    5.3889201775e+00    1.4250469206e+02    1.3711577188e+02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.4250469206e+02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3711577188e+02    0.0000000000e+00    0.0000000000e+00    1.4481926097e-01    7.0396667562e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.1963205235e+01   -2.9009665697e-02                1465    2.9009665697e-02                1605   -7.0312652487e-01                5631    5.8616093992e-01               13823    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944   -7.0994174960e-01          1358284256    6.1356323551e-01                 475    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    0.0000000000e+00          -236220944    1.3711577188e+02    5.4036895623e+00   -9.3680837680e-17   -1.1782651999e-17    0.0000000000e+00    0.0000000000e+00   -7.6558713710e-17    1.0063352698e-17
