#[0]step() [1]time(s) [2]total_lev0(J) [3]E_lev0(J) [4]B_lev0(J)
0 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
10 9.24592500005876e-16 4.38207668986348e-01 2.31468357399147e-01 2.06739311587201e-01
20 1.84918500001175e-15 1.48567207558989e+00 7.94797740918771e-01 6.90874334671116e-01
30 2.77377750001763e-15 2.49594235549182e+00 1.37913270726386e+00 1.11680964822797e+00
40 3.69837000002351e-15 3.40758167800157e+00 1.76463987175234e+00 1.64294180624923e+00
50 4.62296250002938e-15 6.00289108022830e+00 3.09237104431543e+00 2.91052003591288e+00
60 5.54755500003526e-15 9.19433815866401e+00 4.94204133165503e+00 4.25229682700898e+00
70 6.47214750004114e-15 1.13759674516767e+01 5.93184009259115e+00 5.44412735908559e+00
80 7.39674000004701e-15 1.70807400759601e+01 8.68313923133431e+00 8.39760084462580e+00
90 8.32133250005288e-15 2.61440747169708e+01 1.38684584416866e+01 1.22756162752842e+01
100 9.24592500005875e-15 3.20127291476297e+01 1.68435747819737e+01 1.51691543656561e+01
110 1.01705175000646e-14 4.33378599714212e+01 2.19259659325139e+01 2.14118940389073e+01
120 1.10951100000705e-14 6.62683179295713e+01 3.46997504030633e+01 3.15685675265079e+01
130 1.20197025000764e-14 8.30172080003703e+01 4.39399702607527e+01 3.90772377396176e+01
