#[0]step() [1]time(s) [2]momentum_x_lev0(kg*m/s) [3]momentum_y_lev0(kg*m/s) [4]momentum_z_lev0(kg*m/s)
0 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
10 9.24592500005876e-16 1.30631912328472e-09 0.00000000000000e+00 1.01646076090944e-24
20 1.84918500001175e-15 4.20629625482983e-09 0.00000000000000e+00 4.78409475901210e-23
30 2.77377750001763e-15 6.53037844100540e-09 0.00000000000000e+00 4.34634371354726e-23
40 3.69837000002351e-15 1.05950604361332e-08 0.00000000000000e+00 1.31325313639450e-23
50 4.62296250002938e-15 1.86507446484246e-08 0.00000000000000e+00 1.30928646025436e-22
60 5.54755500003526e-15 2.57411076960028e-08 0.00000000000000e+00 5.76868044379546e-23
70 6.47214750004114e-15 3.46608939300051e-08 0.00000000000000e+00 5.10001218017280e-24
80 7.39674000004701e-15 5.48418692854639e-08 0.00000000000000e+00 2.05020489642947e-22
90 8.32133250005288e-15 7.58342295676246e-08 0.00000000000000e+00 8.79468767069798e-23
100 9.24592500005875e-15 9.52993647765465e-08 0.00000000000000e+00 2.69733977529139e-23
110 1.01705175000646e-14 1.40798413334055e-07 0.00000000000000e+00 2.25987206383657e-22
120 1.10951100000705e-14 1.98587887739470e-07 0.00000000000000e+00 2.35733896327987e-23
130 1.20197025000764e-14 2.43187460148258e-07 0.00000000000000e+00 7.61601818905805e-23
